,tamil,malayalam,kannada
this,idï,idï,idu
all,ellaa,ellaa,ellaa
many,pala,pala,hala
short,kuṟï,kuṟiya,giDDa
thin,melliya,neeṟtta,teLu
child,piLLai,piLLa,magu
snake,paambï,paambï,haavu
fruit,paRam,paRam,haNNu
bone,elumbï,ellï,elubu
feather,iṟagï,tuuval,gari
drink,kuDi,kuDikkuga,kuDi
laugh,siri,chirikkuga,nagu
dig,tooNDï,kuRikkuga,tooDu
lie,paDï,kiDakkuga,paDu
count,eNNï,eNNuga,eNisu
rain,maRai,maRa,maLe
white,veLLai,veLLa,biLi
cold,taN,taNuppï,kuLiru
right,valadï,valadï,bala
name,peyar,peerï,hesaru